,pic_id,screen_name,user_id,lang,location,protected,followers_count,friends_count,statuses_count,favourites_count,account_created_at,verified,num.tweets.used.Lexicon.prediction,Lexicon.age.prediction,Lexicon.gender.prediction..index.,lexicon.gender.prediction,human.labeled.age,age
0,0,_____zac_____,461441180.0,en,"Maryland, USA",0,0.00041857573450808117,0.002298464677246491,0.060043378902001156,0.010963496985628611,0.3615690579590099,0.0,0.6153846153846154,0.21299569722812495,0.3747611232717454,1.0,0.16071428571428573,1.0
1,1,___aleia,7.65e+17,en,"Ohio, USA",0,0.0009479509281506545,0.0050101364874811155,0.007060379382313728,0.061530954367296824,0.7146600292053368,0.0,0.6153846153846154,0.1749791180209189,0.5569646703443722,0.0,0.08928571428571429,0.0
2,3,___schaeffer___,1257110426.0,en,The Lou,0,0.0016558363615099094,0.008522397117880248,0.057368274816328904,0.18942792530445413,0.45078877365220676,0.0,0.32867132867132864,0.29744580887418126,0.21556433369206984,1.0,0.14285714285714285,0.0
3,9,__EmilyRice__,3797155154.0,en,"Marble Falls, TX",0,0.0003159836427168848,0.002453417352117041,0.002550179740286594,0.006810537969536222,0.6485795552992538,0.0,0.6153846153846154,0.18657917311032204,0.6611713309673558,0.0,0.10714285714285714,0.0
4,10,__ginaaaa__,1941565878.0,en,"West Virginia, USA",0,0.001409615341211038,0.005784899861833865,0.02927322031269856,0.05482273187573129,0.4950373298713102,0.0,0.6153846153846154,0.25600640832747235,0.45520352708952005,1.0,0.14285714285714285,0.0
5,13,__masonsmith__,381152967.0,en,513,0,0.0003590723212691873,0.0022339010627170953,0.01361244591098925,0.058175531384617,0.3392549173794856,0.0,0.6153846153846154,0.184042569855758,0.36205845444212575,1.0,0.125,0.0
6,14,__sammybear__,1597404283.0,en,"Indiana, USA",0,0.0009417954026431826,0.009322985938044755,0.03187078514951075,0.04022834715904023,0.47764294479980807,0.0,0.6153846153846154,0.18842681596471697,0.5870982956018856,0.0,0.08928571428571429,0.0
7,16,_AJoseph_,949616396.0,en,"HTOWN, CT",0,0.0010382319689269072,0.0138811771238201,0.019621737697644314,0.02103238940746221,0.4265578774940376,0.0,0.6153846153846154,0.2551722240101754,0.33294484774087685,1.0,0.14285714285714285,0.0
8,20,_ashleelyon,3350150613.0,en,"New Smyrna Beach, FL",0,0.0008617735710460495,0.007063259429515902,0.04575031069546245,0.061349934675502524,0.6277604811467371,0.0,0.5944055944055944,0.16849810723718783,0.5304481899177643,0.0,0.08928571428571429,0.0
9,21,_ashleyshaffer,2451348210.0,en,the shores,0,0.0009848840811954851,0.004351587619281278,0.012003506497142893,0.04395892689427925,0.5358445282981348,0.0,0.6153846153846154,0.2220106885189724,0.9192455971153476,0.0,0.10714285714285714,0.0
10,22,_Baaaates724,64224868.0,en,"Massachusetts, USA",0,0.0025853207131381483,0.028020608705757784,0.03263756216601584,0.08636213382864519,0.17521535170761443,0.0,0.6153846153846154,0.17199696431093534,0.7129961331066103,0.0,0.16071428571428573,1.0
11,24,_boogs23,508091111.0,en,Keke PalmerÈs House,0,0.004060594993095552,0.0169802306212311,0.18479541484575074,0.24805469418165982,0.371705242792208,0.0,0.6153846153846154,0.2862143191033708,0.3735616754028935,1.0,0.21428571428571427,1.0
12,26,_celiaaaxo,56126318.0,en,"Florida, USA",0,0.0007981664741355078,0.005358780005939852,0.04892726603070124,0.09239087660753356,0.1693000062434559,0.0,0.6153846153846154,0.18552690201222943,0.5194646093912051,0.0,0.17857142857142858,1.0
13,27,_chiara475,2723498547.0,en,"New York, NY",0,0.0007940627904638598,0.004532365739963586,0.0012040122253549035,0.005149879057858091,0.5563518683066534,0.0,0.5594405594405595,0.20542700734318087,0.6386871633937559,0.0,0.05357142857142857,0.0
14,30,_crayolacrayon,230723857.0,en,"San Antonio, TX",0,0.0005437380864933408,0.002053122942034787,0.1892086904267028,0.015919238982721802,0.2812896201741705,0.0,0.5244755244755245,0.22108804517551736,0.6779740697337917,0.0,0.16071428571428573,1.0
15,32,_DemiNeutron,1.1e+18,en,"Louisiana , USA",0,0.0001949249744032731,0.00200147205041127,0.004262504819279703,0.030009916730941773,0.9121449253790048,0.0,0.6153846153846154,0.16713493519070238,0.6051431468064106,0.0,0.08928571428571429,0.0
16,33,_donishav,8.63e+17,en,"san antonio, tx",0,0.002802815947735485,0.009503764058727064,0.045929081741445374,0.09137821572300314,0.7714789869693081,0.0,0.6153846153846154,0.15840923759210462,0.7933344781636787,0.0,0.08928571428571429,0.0
17,34,_dxVi5,2930411989.0,en,"Texas, USA",0,0.0012659864127033632,0.0043257621734695195,0.08268914730518802,0.019555373661372496,0.5864918226080655,0.0,0.6153846153846154,0.20360632664175027,0.34168156209868233,1.0,0.125,0.0
18,37,_espibarrera,1.08e+18,en,with stephen,0,0.0008289441016728666,0.004829358366798807,0.016739862281678553,0.014216604490337747,0.8999681393668024,0.0,0.6153846153846154,0.16202164624228704,0.6468355250165456,0.0,0.03571428571428571,0.0
19,40,_FatPapiOrtiz,7.23e+17,en,"Camden, NJ",0,0.0056938610944113986,0.036943300233720285,0.0645751172242672,0.13049158651954226,0.690293005238508,0.0,0.6153846153846154,0.2588475360837302,0.3414047988813491,1.0,0.16071428571428573,1.0
20,42,_GabiBozeman,7.62e+17,en,"Chicago, IL",0,0.0017399618767786904,0.00677917952558656,0.040936415662066725,0.08350779434064233,0.7130061713710205,0.0,0.6153846153846154,0.13779402759209428,0.5179113534569574,0.0,0.10714285714285714,0.0
